"market_region","source_key","dish_family_key","dish_variant_key","display_name_tr","display_name_en","aliases_tr","aliases_en","category","origin_region","preparation_state","discovery_source_url","evidence_class","preferred_nutrition_source","nutrition_basis_candidate","review_status"
"TR","TR:LOCAL_DISH:PREPARED:dogme_pilavi:tunceli","TR:LOCAL_DISH:FAMILY:dogme_pilavi","tunceli","Tunceli Döğme Pilavı","Tunceli cracked wheat pilaf","","","GRAIN_DISH","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:keskek:tunceli","TR:LOCAL_DISH:FAMILY:keskek","tunceli","Tunceli Keşkeği","Tunceli keskek","","","MAIN_DISH","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:malhuta_corbasi:tunceli","TR:LOCAL_DISH:FAMILY:malhuta_corbasi","tunceli","Malhuta Çorbası","Malhuta soup","","","SOUP","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:tarhana_corbasi:tunceli","TR:LOCAL_DISH:FAMILY:tarhana_corbasi","tunceli","Tunceli Tarhana Çorbası","Tunceli tarhana soup","","","SOUP","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:un_pilavi:tunceli","TR:LOCAL_DISH:FAMILY:un_pilavi","tunceli","Tunceli Un Pilavı","Tunceli flour pilaf","","","GRAIN_DISH","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:hazirlop_koftesi:classic","TR:LOCAL_DISH:FAMILY:hazirlop_koftesi","classic","Hazırlop Köftesi","Hazirlop lentil patties","","","MAIN_DISH","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:eksili_ekmek:tunceli","TR:LOCAL_DISH:FAMILY:eksili_ekmek","tunceli","Tunceli Ekşili Ekmeği","Tunceli sour bread","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:bazlama:tunceli","TR:LOCAL_DISH:FAMILY:bazlama","tunceli","Tunceli Bazlaması","Tunceli bazlama flatbread","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:yufka:tunceli","TR:LOCAL_DISH:FAMILY:yufka","tunceli","Tunceli Yufkası","Tunceli yufka flatbread","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:kumbik:classic","TR:LOCAL_DISH:FAMILY:kumbik","classic","Kumbik","Kumbik bread","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:kul_gommesi:tunceli","TR:LOCAL_DISH:FAMILY:kul_gommesi","tunceli","Tunceli Kül Gömmesi","Tunceli ash-baked bread","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:degirmen_pogacasi:classic","TR:LOCAL_DISH:FAMILY:degirmen_pogacasi","classic","Değirmen Poğaçası","Degirmen pastry","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:tepsi_kumbigi:yumurtali","TR:LOCAL_DISH:FAMILY:tepsi_kumbigi","yumurtali","Yumurtalı Tepsi Kumbiği","Egg tepsi kumbik","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:su_boregi:tunceli","TR:LOCAL_DISH:FAMILY:su_boregi","tunceli","Tunceli Su Böreği","Tunceli water borek","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:bisi:tunceli","TR:LOCAL_DISH:FAMILY:bisi","tunceli","Tunceli Bişisi","Tunceli fried dough","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:hirinc:classic","TR:LOCAL_DISH:FAMILY:hirinc","classic","Hırınç","Hirinc pastry","","","PASTRY","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
"TR","TR:LOCAL_DISH:PREPARED:kalbur_hurmasi:tunceli","TR:LOCAL_DISH:FAMILY:kalbur_hurmasi","tunceli","Tunceli Kalbur Hurması","Tunceli kalbur hurmasi dessert","","","DESSERT","Tunceli","PREPARED","https://tunceli.ktb.gov.tr/TR-57284/yore-mutfagi-ve-yoresel-yemekler.html","OFFICIAL_INSTITUTIONAL","USDA_FOODDATA_COMPONENT_CALCULATION","CALCULATED","TAXONOMY_ONLY"
