market_region,source_key,dish_family_key,dish_variant_key,display_name_tr,display_name_en,aliases_tr,aliases_en,preparation_state,preferred_nutrition_source,nutrition_basis_candidate,review_status
TR,TR:LOCAL_DISH:PREPARED:kuru_fasulye:classic,kuru_fasulye,classic,Kuru fasulye,Turkish white bean stew,kuru fasulye yemeği,white bean stew,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:kuru_fasulye:etli,kuru_fasulye,etli,Etli kuru fasulye,Turkish white bean stew with meat,etli fasulye,white bean stew with beef,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:kuru_fasulye:pastirmali,kuru_fasulye,pastirmali,Pastırmalı kuru fasulye,Turkish white bean stew with pastirma,pastırmalı fasulye,white bean stew with pastirma,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:mercimek_corbasi:classic,mercimek_corbasi,classic,Mercimek çorbası,Turkish lentil soup,kırmızı mercimek çorbası,lentil soup,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:ezogelin_corbasi:classic,ezogelin_corbasi,classic,Ezogelin çorbası,Ezogelin soup,ezogelin,Turkish red lentil and bulgur soup,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:pirinc_pilavi:classic,pirinc_pilavi,classic,Pirinç pilavı,Turkish rice pilaf,pilav,rice pilaf,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:bulgur_pilavi:classic,bulgur_pilavi,classic,Bulgur pilavı,Turkish bulgur pilaf,bulgur pilavı,bulgur pilaf,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:nohut_yemegi:classic,nohut_yemegi,classic,Nohut yemeği,Turkish chickpea stew,nohut,chickpea stew,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:taze_fasulye:zeytinyagli,taze_fasulye,zeytinyagli,Zeytinyağlı taze fasulye,Green beans in olive oil,taze fasulye,Turkish green bean stew,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:imam_bayildi:classic,imam_bayildi,classic,İmam bayıldı,Imam bayildi,zeytinyağlı patlıcan,stuffed eggplant in olive oil,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:karniyarik:classic,karniyarik,classic,Karnıyarık,Karniyarik,kıymalı patlıcan,eggplant stuffed with minced meat,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:manti:classic,manti,classic,Mantı,Turkish manti,kayseri mantısı,Turkish dumplings,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:menemen:classic,menemen,classic,Menemen,Menemen,yumurtalı menemen,Turkish eggs with tomato and pepper,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:lahmacun:classic,lahmacun,classic,Lahmacun,Lahmacun,lahmacun,Turkish flatbread with minced meat,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:kiymali_pide:classic,kiymali_pide,classic,Kıymalı pide,Minced meat pide,kıymalı pide,Turkish flatbread with minced meat,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:adana_kebap:classic,adana_kebap,classic,Adana kebap,Adana kebab,adana kebabı,spicy minced lamb kebab,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:doner:tavuk,doner,tavuk,Tavuk döner,Chicken doner,tavuk döner kebap,chicken doner kebab,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:doner:et,doner,et,Et döner,Meat doner,et döner kebap,beef and lamb doner kebab,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:icli_kofte:classic,icli_kofte,classic,İçli köfte,Stuffed bulgur kofte,içli köfte,stuffed bulgur balls,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
TR,TR:LOCAL_DISH:PREPARED:firin_sutlac:classic,firin_sutlac,classic,Fırın sütlaç,Baked rice pudding,sütlaç,baked Turkish rice pudding,PREPARED,USDA_FDC_CALCULATED,CALCULATED,PENDING_NUTRITION_PROVENANCE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:full_breakfast:english,full_breakfast,english,İngiliz kahvaltısı,Full English breakfast,tam İngiliz kahvaltısı,full English,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:full_breakfast:irish,full_breakfast,irish,İrlanda kahvaltısı,Full Irish breakfast,tam İrlanda kahvaltısı,full Irish,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:fish_and_chips:classic,fish_and_chips,classic,Balık ve patates kızartması,Fish and chips,balık patates,fish supper,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:shepherds_pie:classic,shepherds_pie,classic,Çoban turtası,Shepherd's pie,kuzu etli çoban turtası,shepherds pie,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:cottage_pie:classic,cottage_pie,classic,Dana etli çoban turtası,Cottage pie,dana etli patatesli turta,cottage pie,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:bangers_and_mash:classic,bangers_and_mash,classic,Sosis ve patates püresi,Bangers and mash,sosisli patates püresi,sausages and mash,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:roast_dinner:beef,roast_dinner,beef,Dana rostolu akşam yemeği,Roast beef dinner,dana rosto tabağı,Sunday roast beef,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:roast_dinner:chicken,roast_dinner,chicken,Tavuk rostolu akşam yemeği,Roast chicken dinner,tavuk rosto tabağı,Sunday roast chicken,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:irish_stew:classic,irish_stew,classic,İrlanda yahni yemeği,Irish stew,kuzu etli İrlanda yahnisi,Irish lamb stew,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:beef_and_guinness_stew:classic,beef_and_guinness_stew,classic,Etli Guinness yahnisi,Beef and Guinness stew,Guinness soslu et yahnisi,beef stout stew,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:colcannon:classic,colcannon,classic,Colcannon patates püresi,Colcannon,lahanalı patates püresi,Irish mashed potato with cabbage,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:champ:classic,champ,classic,Taze soğanlı İrlanda püresi,Champ,taze soğanlı patates püresi,Irish mashed potato with scallions,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:boxty:classic,boxty,classic,İrlanda patatesli pankeki,Boxty,patatesli pankek,Irish potato pancake,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:coddle:dublin,coddle,dublin,Dublin usulü sosis yahnisi,Dublin coddle,sosisli Dublin yahnisi,Dublin sausage and potato stew,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:corned_beef_and_cabbage:classic,corned_beef_and_cabbage,classic,Tuzlu dana eti ve lahana,Corned beef and cabbage,lahana ile tuzlu dana eti,corned beef cabbage dinner,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:steak_and_kidney_pie:classic,steak_and_kidney_pie,classic,Biftekli böbrekli turta,Steak and kidney pie,etli böbrekli turta,steak kidney pie,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:chicken_tikka_masala:classic,chicken_tikka_masala,classic,Tavuk tikka masala,Chicken tikka masala,tikka masala tavuk,chicken tikka,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:beans_on_toast:classic,beans_on_toast,classic,Tost üzerinde kuru fasulye,Beans on toast,fasulyeli tost,baked beans on toast,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:jacket_potato:beans,jacket_potato,beans,Fasulyeli fırın patates,Jacket potato with beans,kumpir benzeri fasulyeli patates,baked potato with beans,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
UK_IE,UK_IE:LOCAL_DISH:PREPARED:porridge:milk,porridge,milk,Sütlü yulaf lapası,Porridge with milk,sütlü porridge,oat porridge with milk,PREPARED,COFID_SOURCE_REPORTED,SOURCE_REPORTED,PENDING_SOURCE_PROFILE
