"query","market_region","expected_count","expected_source_keys","decision"
"turkish flatbread with minced meat","TR","2","TR:LOCAL_DISH:PREPARED:kiymali_pide:classic|TR:LOCAL_DISH:PREPARED:lahmacun:classic","KEEP_SEPARATE_REVIEW_ALIAS"
"lahmacun","TR","1","TR:LOCAL_DISH:PREPARED:lahmacun:classic","EXACT"
"kıymalı pide","TR","1","TR:LOCAL_DISH:PREPARED:kiymali_pide:classic","EXACT"
"moussaka","UK_IE","4","UK_IE:LOCAL_DISH:PREPARED:moussaka:meat_homemade|UK_IE:LOCAL_DISH:PREPARED:moussaka:meat_retail_reheated|UK_IE:LOCAL_DISH:PREPARED:moussaka:vegetable_homemade|UK_IE:LOCAL_DISH:PREPARED:moussaka:vegetable_retail","FAMILY_VARIANTS"
"lasagne","UK_IE","5","UK_IE:LOCAL_DISH:PREPARED:lasagne:beef_homemade|UK_IE:LOCAL_DISH:PREPARED:lasagne:extra_lean_beef_homemade|UK_IE:LOCAL_DISH:PREPARED:lasagne:retail_reheated|UK_IE:LOCAL_DISH:PREPARED:lasagne:spinach_wholemeal|UK_IE:LOCAL_DISH:PREPARED:lasagne:vegetable_retail","FAMILY_VARIANTS"
"irish stew","UK_IE","2","UK_IE:LOCAL_DISH:PREPARED:irish_stew:classic|UK_IE:LOCAL_DISH:PREPARED:irish_stew:lean_lamb_homemade","FAMILY_VARIANTS"
"bubble and squeak","UK_IE","2","UK_IE:LOCAL_DISH:PREPARED:bubble_and_squeak:rapeseed_oil|UK_IE:LOCAL_DISH:PREPARED:bubble_and_squeak:sunflower_oil","FAMILY_VARIANTS"
"rice pudding","UK_IE","1","UK_IE:LOCAL_DISH:PREPARED:rice_pudding:whole_milk_homemade","EXACT"
"kuymak","TR","1","TR:LOCAL_DISH:PREPARED:kuymak:kars","EXACT"
"yuvarlama","TR","1","TR:LOCAL_DISH:PREPARED:aydin_yuvarlama:classic","EXACT"
"shepherd's pie","UK_IE","1","UK_IE:LOCAL_DISH:PREPARED:shepherds_pie:classic","EXACT"
"turşu kavurması","TR","1","TR:LOCAL_DISH:PREPARED:tursu_kavurmasi:ordu","EXACT"
