market_region,source_key,dish_family_key,dish_variant_key,display_name_tr,display_name_en,aliases_tr,aliases_en,category,origin_region,preparation_state,discovery_source_url,evidence_class,source_record_id,source_version,license_id,rights_review,preferred_nutrition_source,nutrition_basis_candidate,review_status
UK_IE,UK_IE:LOCAL_DISH:PREPARED:bubble_and_squeak:sunflower_oil,bubble_and_squeak,sunflower_oil,Ayçiçek Yağında Bubble and Squeak,Bubble and Squeak with Sunflower Oil,Bubble and Squeak,Bubble and Squeak,VEGETABLE_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-703,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:bean_vegetable_casserole:root_vegetable,bean_vegetable_casserole,root_vegetable,Ev Yapımı Fasulyeli Kök Sebze Güveci,Homemade Bean and Root Vegetable Casserole,Fasulyeli Kök Sebze Güveci,Bean and Root Vegetable Casserole,LEGUME_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-713,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:vegetable_casserole:sweet_potato_green_banana,vegetable_casserole,sweet_potato_green_banana,Ev Yapımı Tatlı Patatesli Yeşil Muzlu Güveç,Homemade Sweet Potato and Green Banana Casserole,Tatlı Patatesli Muzlu Güveç,Sweet Potato and Green Banana Casserole,VEGETABLE_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-714,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:corn_pudding:homemade,corn_pudding,homemade,Ev Yapımı Mısır Pudingi,Homemade Corn Pudding,Mısır Pudingi,Corn Pudding,SIDE_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-725,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:chicken_turkey_pasty:puff_pastry,chicken_turkey_pasty,puff_pastry,Tavuklu Hindili Milföy Pasty,Chicken and Turkey Puff-pastry Pasty,Tavuklu Hindili Pasty,Chicken and Turkey Pasty,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-469,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:chow_mein:beef_retail_reheated,chow_mein,beef_retail_reheated,Yeniden Isıtılmış Hazır Dana Etli Chow Mein,Retail Beef Chow Mein Reheated,Dana Etli Chow Mein,Beef Chow Mein,NOODLE_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-519,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:chow_mein:pork_chicken_homemade,chow_mein,pork_chicken_homemade,Ev Yapımı Domuz ve Tavuk Etli Chow Mein,Homemade Pork and Chicken Chow Mein,Domuz ve Tavuk Etli Chow Mein,Pork and Chicken Chow Mein,NOODLE_DISH,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-614,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:cornish_pasty:retail,cornish_pasty,retail,Hazır Cornish Pasty,Retail Cornish Pasty,Cornwall Böreği,Cornish Pasty,PASTRY,Cornwall,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,19-466,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:flan:cheese_mushroom_homemade,flan,cheese_mushroom_homemade,Ev Yapımı Peynirli Mantarlı Flan,Homemade Cheese and Mushroom Flan,Peynirli Mantarlı Flan,Cheese and Mushroom Flan,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-796,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
UK_IE,UK_IE:LOCAL_DISH:PREPARED:flan:cheese_onion_potato_homemade,flan,cheese_onion_potato_homemade,Ev Yapımı Peynirli Soğanlı Patatesli Flan,Homemade Cheese Onion and Potato Flan,Peynirli Patatesli Flan,Cheese Onion and Potato Flan,PASTRY,UK,PREPARED,https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid,OFFICIAL_COMPOSITION_DATASET,15-798,COFID-2021,OGL-3.0_EXCEPT_WHERE_OTHERWISE_STATED,PENDING_ROW_REVIEW,COFID_2021,SOURCE_REPORTED,EXACT_PROFILE_PENDING_RIGHTS
